,district,weather,time_slot,risk_high,risk_medium,risk_low,cause
157,永康區,風沙,20.0,[],[],[],[]
158,永康區,風沙,21.0,[],[],[],[]
159,永康區,風沙,22.0,[],[],[],[]
160,永康區,風沙,6.0,[],[],[],[]
161,永康區,風沙,23.0,[],[],[],[]
162,永康區,風沙,0.0,[],[],[],[]
163,永康區,風沙,5.0,[],[],[],[]
164,永康區,風沙,1.0,[],[],[],[]
165,永康區,風沙,4.0,[],[],[],[]
166,永康區,風沙,2.0,[],[],[],[]
167,永康區,風沙,3.0,[],[],[],[]
168,東區,晴,17.0,[],"[162589, 174485, 170662]","[177034, 156651, 154508, 147727, 159631, 150289, 153683]","[1, 6, 2]"
169,東區,晴,7.0,[],[],[172361],"[1, 6, 5]"
170,東區,晴,8.0,[],[],[],"[1, 6, 2]"
171,東區,晴,18.0,[],[],"[147292, 162589]","[1, 6, 2]"
172,東區,晴,16.0,[],[],"[152396, 155374]","[1, 6, 5]"
173,東區,晴,11.0,[],[],"[158336, 156651, 153271, 156650, 151531]","[1, 6, 5]"
174,東區,晴,12.0,[],[],"[155374, 163854, 142182, 147727]","[1, 6, 2]"
175,東區,晴,10.0,[],[],"[147292, 163854]","[1, 6, 2]"
176,東區,晴,15.0,[],[],[],"[1, 5, 6]"
177,東區,晴,9.0,[],[],[],"[1, 6, 5]"
178,東區,晴,19.0,[],[],[],"[1, 2, 6]"
179,東區,晴,14.0,[],[],[],"[1, 6, 5]"
180,東區,晴,13.0,[],[],[147292],"[1, 6, 5]"
181,東區,晴,20.0,[],[],[159206],"[1, 6, 2]"
182,東區,晴,21.0,[],[],[],"[1, 2, 6]"
183,東區,晴,22.0,[],[],[164270],"[1, 2, 5]"
184,東區,晴,6.0,[],[],[],"[1, 5, 8]"
185,東區,晴,23.0,[],[],[],"[1, 5, 2]"
186,東區,晴,0.0,[],[],[],"[1, 2, 5]"
187,東區,晴,5.0,[],[],[],"[2, 1, 5]"
188,東區,晴,1.0,[],[],[],"[1, 2, 5]"
189,東區,晴,4.0,[],[],[],"[2, 5, 1]"
190,東區,晴,2.0,[],[],[],"[2, 1, 5]"
191,東區,晴,3.0,[],[],[],"[5, 1, 2]"
